id	slug	name	pak	dpq
34510	ruda-kiaules-ausis-1-vnt-x-20-vnt	Ruda kiaulės ausis, 1 vnt. × 20 vnt.	[]	20
34486	animonda-grancarno-adult-beef-duck-hearts-konservai-suaugusiems-sunims-su-jautiena-ir-anciu-sirdelemis-400-g-x-6-vnt	Animonda GranCarno Adult Beef + Duck Hearts: konservai suaugusiems šunims su jau	[]	6
34484	exclusion-hypoallergenic-mazu-veisliu-sunu-maistas-su-kiauliena-ir-zirneliais-7-kg-x-2-vnt	Exclusion Hypoallergenic mažų veislių šunų maistas su kiauliena ir žirneliais 7 	[]	2
34471	exclusion-hypoallergenic-mazu-veisliu-sunu-maistas-su-kiauliena-ir-zirneliais-2-kg-x-2-vnt	Exclusion Hypoallergenic mažų veislių šunų maistas su kiauliena ir žirneliais, 2	[]	2
23904	expertus-silikoninis-kraikas-katems-10l	Expertus silikoninis kraikas katėms, 10L	[]	
23502	bazyl-ekonomik-bentonitinis-kraikas-katems	Bazyl Ekonomik bentonitinis kraikas katėms	[]	
22877	8in1-sukos-sunims-l	8in1 Šukos šunims L	[]	
14031	trixie-apsaugine-apykakle-poliesteris-putplastis-s-30-34-cm-19-5-cm-pilka	Trixie Apsauginė apykaklė, poliesteris/putplastis, S: 30-34 cm/19.5 cm, pilka	["S"]	
19902	duvoplius-zaislas-suniui-pliusinis-melynasis-banginis-27x8x7cm	"DuvoPlius" žaislas šuniui - pliušinis mėlynasis banginis, 27x8x7cm	[]	
19875	24-vnt-miamor-super-premium-konservai-katems-su-tunu-ir-putpeliu-kiausiniais-100-g	24 vnt. Miamor Super Premium konservai katėms su tunu ir putpelių kiaušiniais, 1	[]	
19869	24-vnt-miamor-super-premium-konservai-katems-su-vistiena-ir-ryziais-100-g	24 vnt. Miamor Super Premium konservai katėms su vištiena ir ryžiais, 100 g	[]	
19866	24-vnt-miamor-super-premium-konservai-katems-su-tunu-ir-krevetemis-100-g	24 vnt. Miamor Super premium konservai katėms su tunu ir krevetėmis, 100 g	[]	
19692	animonda-carny-adult-beef-heart-konservai-katems-su-sviezia-jautiena-ir-sirdimis-400-g	Animonda Carny Adult Beef + Heart – konservai katėms su šviežia jautiena ir šird	["400 g"]	
19570	animonda-grancarno-adult-beef-konservai-sunims-su-sviezia-jautiena-800-g	Animonda GranCarno Adult Beef: konservai šunims su šviežia jautiena, 800 g	["800 g"]	
19393	animonda-vom-feinsten-adult-with-turkey-and-lamb-konservai-suaugusiems-sunims-su-kalakutiena-ir-eriena-150-g	Animonda Vom Feinsten Adult with Turkey and Lamb – konservai suaugusiems šunims 	["150 g"]	
19134	automatine-serykla-girdykla-gyvunui-eat-and-drink-37-l	Automatinė šėrykla/girdykla gyvūnui (Eat and Drink), 3,7 l	[]	
19089	baltos-triusio-ausys	Baltos triušio ausys	[]	
18674	dubenelis-keraminis-1000-ml	Dubenėlis keraminis, 1000 ml	[]	
18372	gerimas-katems-miamor-trinkfein-vitaldrink-su-antiena-135-ml	Gėrimas katėms - Miamor Trinkfein Vitaldrink su antiena, 135 ml	[]	
18221	hikari-saki-growth-5-kg-hikari-maistas-koi-karpiams-ir-kitoms-tvenkiniu-zuvims	Hikari Saki Growth, 5 kg, Hikari maistas koi karpiams ir kitoms tvenkinių žuvims	["5 kg"]	
18131	jaucio-peniai-pjaustyti-125-cm-10-vnt	Jaučio peniai pjaustyti, 12,5 cm, 10 vnt.	["10-15 cm"]	
17723	kraikas-katems-family-cat-augalinis-6-l-vegetable-cat-litter	Kraikas katėms Family Cat, augalinis, 6 l, Vegetable Cat Litter	[]	
17657	kraikas-katems-is-augalinio-pluosto-biokats-eco-light-susokantis-5-litrai	Kraikas katėms iš augalinio pluošto Biokat's Eco Light, sušokantis, 5 litrai	[]	
17574	liucernos-riestainiai-grauzikams-300-g-ziarnko	Liucernos riestainiai graužikams, 300 g, Ziarnko	[]	
17446	mini-ryziu-kauliukai-su-antiena-500-g	Mini ryžių kauliukai su antiena, 500 g	["500 g"]	
17440	minksta-gumine-pirstine-gyvuno-kailiui-sukuoti-ir-masazuoti-trixie-2	Minkšta guminė pirštinė gyvūno kailiui šukuoti ir masažuoti, Trixie	[]	
17386	naturalios-triusio-ausys-su-kailiuku-100-g	Natūralios triušio ausys su kailiuku, 100 g	["100 g"]	
17305	negriunantis-besisypsantis-kiausinis	Negriūnantis besišypsantis kiaušinis	[]	
16959	papildas-gyvunams-bioveterinary-extra-strong-28-pok	Papildas gyvūnams Bioveterinary Extra Strong, 28 pok.	[]	
16528	royal-canin-giant-adult-15-kg-sausas-maistas-suagusiems-itin-dideliu-veisliu-sunims	ROYAL CANIN GIANT ADULT 15 KG - sausas maistas suagusiems itin didelių veislių š	["15 kg"]	
16311	ruda-jaucio-ausis-1-vnt	Ruda jaučio ausis, 1 vnt.	["1 vnt"]	
16189	semtuvelis-ekskrementams-pick-up-su-5-maiseliais	Semtuvėlis ekskrementams Pick up su 5 maišeliais	[]	
15942	tualetas-katems-beta-su-remeliu-mazas	Tualetas katėms BETA su rėmeliu mažas	[]	
15856	vetocanis-atbaidantis-biologinis-antkaklis-kaciukams-nuo-3-iki-9-menesiu-amziaus	Vetocanis atbaidantis biologinis antkaklis kačiukams nuo 3 iki 9 mėnesių amžiaus	[]	
15832	vienkartines-sunu-palutes	Vienkartinės šunų palutės	[]	
15754	vesinantis-kilimelis-sunims-triju-dydziu	Vėsinantis kilimėlis šunims, trijų dydžių	[]	
15734	zolux-anah-zirklutes-sunu-nagams-kirpti	Zolux Anah žirklutės šunų nagams kirpti	[]	
15671	sampunas-jauniems-jorksyro-terjerams-super-beno-york-junior-professional-250-ml	Šampūnas jauniems Jorkšyro terjerams, Super Beno York Junior Professional, 250 m	[]	
15547	zaislas-katei-kamuoliukas-su-plunksnomis-ir-garsu	Žaislas katei - Kamuoliukas su plunksnomis ir garsu	[]	
15484	zaislas-katei-plastikinis-kamuoliukas-4-cm	Žaislas katei - Plastikinis kamuoliukas, 4 cm	[]	
15336	zaislas-suniui-coockoo-guminis-kamuoliukas-bumpies-kvepiantis-braskemis-s	Žaislas šuniui - Coockoo guminis kamuoliukas Bumpies, kvepiantis braškėmis, S	["S"]	
15184	zaislas-suniui-kamuoliukas-besmegenis	Žaislas šuniui - Kamuoliukas Besmegenis	[]	
15039	zaislas-suniui-super-kamuoliukas-dantims-7-cm	Žaislas šuniui - Super kamuoliukas dantims, 7 cm	[]	
13144	trixie-automobilio-sedynes-uztiesalas-su-sonais-padalinamas-1-50x1-35-m-juodas	Trixie Automobilio sėdynės užtiesalas, su šonais, padalinamas 1.50x1.35 m, juoda	[]	
12883	dziovintos-vistos-kojos-baltos-50vnt	Džiovintos vištos kojos baltos (50vnt)	[]	
34500	animonda-carny-adult-beef-turkey-shrimp-konservai-katems-su-sviezia-jautiena-kalakutiena-ir-krevetemis-400-g-x-6-vnt	Animonda Carny Adult Beef + Turkey + Shrimp – konservai katėms su šviežia jautie	[]	6
34488	animonda-vom-feinsten-adult-with-poultry-and-veal-konservai-katems-su-paukstiena-ir-versiena-100-g-x-16-vnt	Animonda Vom Feinsten Adult with Poultry and Veal – konservai katėms su paukštie	[]	16
26987	churu-hairball-kreminis-skanestas-katems-su-vistiena-60-vnt	Churu Hairball kreminis skanėstas katėms su vištiena, 60 vnt	[]	
26819	transporteris-melynas-m-doggy	Transporteris mėlynas M Doggy	["M"]	
26512	transporteris-zalias-s-doggy	Transporteris žalias S Doggy	["S"]	
24080	nobby-sampunas-nuo-erkiu-ir-blusu-sunims-ir-katems-250-ml	Nobby šampūnas nuo erkių ir blusų, šunims ir katėms, 250 ml	[]	
24072	nobby-sampunas-katems-300-ml	Nobby šampūnas katėms, 300 ml	[]	
23452	nerudijantis-stovas-su-dubeneliais-gyvunams-2	Nerūdijantis stovas su dubenėliais gyvūnams	[]	
23247	flexi-pavadelis-suniui-xtreme-m-juostinis-5m-oranzinis	FLEXI pavadėlis šuniui Xtreme M juostinis 5m, oranžinis	["M"]	
21599	churu-kreminis-skanestas-kaciukams-su-vistiena-4vnt	Churu kreminis skanėstas kačiukams su vištiena, 4vnt	["2-5 vnt"]	
20911	churu-rolls-skanestas-sunims-su-vistiena-lazdeles-8-vnt	Churu Rolls skanėstas šunims su vištiena, lazdelės, 8 vnt.	["6-10 vnt"]	
12564	monge-hypoallergenic-adult-sausas-pasaras-suaugusiems-sunims-su-lasisa-ir-tunu-12kg	Monge Hypoallergenic adult sausas pašaras suaugusiems šunims su lašiša ir tunu 1	["12 kg"]	
19878	24-vnt-miamor-super-premium-konservai-katems-su-tunu-ir-kalmarais-100-g	24 vnt. Miamor Super Premium konservai katėms su tunu ir kalmarais, 100 g	[]	
19872	24-vnt-miamor-super-premium-konservai-katems-su-tunu-ir-suriu-100-g	24 vnt. Miamor Super Premium konservai katėms su tunu ir sūriu, 100 g	[]	
19863	24-vnt-miamor-super-premium-konservai-katems-su-tunu-ir-darzovemis-100-g	24 vnt. Miamor super premium konservai katėms su tunu ir daržovėmis, 100 g	[]	
19095	balta-kiaules-knysle-1-vnt	Balta kiaulės knyslė, 1 vnt.	["1 vnt"]	
18955	deli-nature-menu-super-premium-pasaras-ziurkenams-750-g	Deli Nature Menu Super Premium pašaras žiurkėnams, 750 g	[]	
18745	dubenelis-gyvunui-sirdele-dvigubas-mon-amor-double	Dubenėlis gyvūnui Širdelė dvigubas, Mon Amor double	[]	
18719	dubenelis-katei-keraminis-ant-mediniu-kojeliu-200-ml	Dubenėlis katei keraminis ant medinių kojelių, 200 ml	[]	
18679	dubenelis-katei-keraminis-ovalus-nobby-120-ml	Dubenėlis katei, keraminis ovalus, Nobby, 120 ml	[]	
18346	higieniniai-maiseliai-sunims-is-perdirbto-plastiko-1630-vnt	Higieniniai maišeliai šunims iš perdirbto plastiko, 16*30 vnt.	[]	
17932	kaledinis-skanestu-rinkinys-vidutiniu-ir-dideliu-veisliu-sunims-2	Kalėdinis skanėstų rinkinys vidutinių ir didelių veislių šunims	[]	
17805	kilimelis-prie-kaciu-tualeto-aladdin	Kilimėlis prie kačių tualeto Aladdin	[]	
17732	konservu-rinkinys-sunims-monoproteinas-1	Konservų rinkinys šunims Monoproteinas #1	[]	
16922	pavadys-gumuotas-sunims-5-m-ilgio-16-mm	Pavadys gumuotas šunims, 5 m ilgio, 16 mm	[]	
16889	prins-diet-skin-intestinal-hypoallergic-sausas-maistas-katems-15-kg	Prins Diet Skin & Intestinal Hypoallergic sausas maistas katėms 1,5 kg	["15 kg"]	
16782	prins-procare-protection-super-active-sausas-maistas-aktyviems-suaugusiems-sunims-15-kg	Prins ProCare Protection Super Active sausas maistas aktyviems suaugusiems šunim	["15 kg"]	
16329	rinkinys-katems-mesos-ir-salyklo-malt-pastos-2	Rinkinys katėms mėsos ir salyklo (malt) pastos	[]	
16122	skanestai-sunims-rinkinys-gurmanams	Skanėstai šunims "Rinkinys gurmanams"	[]	
15976	triju-spalvu-kamuoliukas-su-skambuciu	Trijų spalvų kamuoliukas su skambučiu	[]	
15746	zolux-anah-sepetys-katems	Zolux Anah šepetys katėms	[]	
15706	sampunas-jorksyro-terjerams-champ-richer-250-ml	Šampūnas Jorkšyro terjerams, CHAMP RICHER, 250 ml	[]	
15543	zaislas-katei-laiminga-kate-happy-cat-georplast	Žaislas katei - Laiminga katė, Happy Cat Georplast	[]	
15539	zaislas-katei-lama-su-katzole	Žaislas katei - Lama su katžole	[]	
15515	zaislas-katei-matatabi-kamuoliukas-su-plunksnomis	Žaislas katei - Matatabi kamuoliukas su plunksnomis	[]	
15351	zaislas-suniui-coockoo-thunder-kamuolys-raudonas-l-1055-cm	Žaislas šuniui - Coockoo Thunder kamuolys raudonas, L 10*55 cm	["L"]	
15345	zaislas-suniui-coockoo-zane-spalvingas-kamuoliukas-su-rankena-1975-cm	Žaislas šuniui - Coockoo Zane - Spalvingas kamuoliukas su rankena, 19*7,5 cm	[]	
15342	zaislas-suniui-coockoo-zane-spalvingas-kamuoliukas-su-rankena-209-59-5	Žaislas šuniui - Coockoo Zane - Spalvingas kamuoliukas su rankena, 20*9.5*9.5	[]	
15312	zaislas-suniui-ebi-guminis-kaulas-baltos-spalvos-kvepiantis-vanile	Žaislas šuniui - Ebi guminis kaulas baltos spalvos, kvepiantis vanile	[]	
15309	zaislas-suniui-ebi-guminis-kaulas-melsvos-spalvos-kvepiantis-metomis	Žaislas šuniui - Ebi guminis kaulas melsvos spalvos, kvepiantis mėtomis	[]	
15271	zaislas-suniui-guminis-kvepiantis-kamuoliukas-su-virve-7-cm	Žaislas šuniui - Guminis kvepiantis kamuoliukas su virve, 7 cm	[]	
15181	zaislas-suniui-kamuoliukas-kaledu-senelis	Žaislas šuniui - Kamuoliukas Kalėdų Senelis	[]	
13635	trixie-premium-pavadys-su-neoprenu-m-l-1m-20mm-kamufl-misko	Trixie Premium pavadys, su neoprenu M-L 1m/20mm, kamufl./miško	["L","M"]	
13143	trixie-automobilio-sedynes-uztiesalas-siauras-su-sonais-padalinamas-0-5x1-45-m-juodas	Trixie Automobilio sėdynės užtiesalas, siauras su šonais, padalinamas 0.5x1.45 m	[]	
12895	dziovintas-jaucio-skrandis-500g	Džiovintas jaučio skrandis 500g	[]	
13751	trixie-berto-top-kaciu-tualetas-namelis-su-atskyrimo-sistema-39x42x59cm-rudas-sviesus	Trixie Berto Top kačių tualetas namelis, su atskyrimo sistema, 39x42x59cm, rudas	[]	
